property_price,property_description,property_address,property_details,property_hyperlink
"$515,000","1,120 sq. ft. | 2 beds | 1.5 baths","8408 Delta Drive   Gilroy,                     CA 95020","['Square Feet: 1,120', '', 'Bedrooms: 2', 'Bathrooms: 1.5', 'Additional Rooms: 4', '            BreakfastNook    ', '', '            FamilyRoom    ', '', '            LaundryRoom    ', '', '            WalkInCloset    ', '', 'Floor Coverings', '', 'Carpet', 'Tile', 'Hardwood', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'Dryer', 'Freezer', 'RangeOven', 'Washer', '', 'Heating & Cooling', 'Central AC', '', 'Central Heating']",https://www.forsalebyowner.com/listing/8408-Delta-Drive-Gilroy-CA/5ddb4f35e49e3a7d678b4569
"$375,000","1,855 sq. ft. | 3 beds | 2 baths","41313 Oak Street   Big Bear Lake,                     CA 92315","['Square Feet: 1,855', '', 'Bedrooms: 3', 'Bathrooms: 2', 'Additional Rooms: 7', '            MasterBath    ', '', '            DiningRoom    ', '', '            FamilyRoom    ', '', '            Office    ', '', '            LaundryRoom    ', '', '            Pantry    ', '', '            WalkInCloset    ', '', 'Floor Coverings', '', 'Carpet', 'LinoleumVinyl', 'Tile', 'Hardwood', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'TrashCompactor', 'RangeOven', '', 'Interior Keywords:', '', 'Fireplace']",https://www.forsalebyowner.com/listing/41313-Oak-Street-Big-Bear-Lake-CA/5dd21f76e49e3a98668b456b
"$249,000","1,700 sq. ft. | 3 beds | 2 baths","10729 13th Avenue   Hanford,                     CA 93230","['Square Feet: 1,700', '', 'Bedrooms: 3', 'Bathrooms: 2', 'Additional Rooms: 5', '            MasterBath    ', '', '            MudRoom    ', '', '            FamilyRoom    ', '', '            LaundryRoom    ', '', '            Pantry    ', '', 'Floor Coverings', '', 'Carpet', 'Laminate', 'Other', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'RangeOven', '', 'Interior Keywords:', '', 'Fireplace']",https://www.forsalebyowner.com/listing/10729-13th-Avenue-Hanford-CA/5d9f6488e49e3a90398b4568
"$218,900","1,456 sq. ft. | 4 beds | 2 baths","14284 Arrowhead Drive   Victorville,                     CA 92395","['Square Feet: 1,456', '', 'Bedrooms: 4', 'Bathrooms: 2', 'Additional Rooms: 1', '            MasterBath    ', '', 'Floor Coverings', '', 'Tile', 'Hardwood', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', '', 'Heating & Cooling', 'Central Heating', '', 'Interior Keywords:', '', 'Fireplace']",https://www.forsalebyowner.com/listing/14284-Arrowhead-Drive-Victorville-CA/5ddae5bae49e3ab7188b4567
"$499,000",944 sq. ft. | 2 beds | 1 baths,"1015 N. Michillinda Ave. # 301   Pasadena,                     CA 91107","['Square Feet: 944', '', 'Bedrooms: 2', 'Bathrooms: 1', 'Floor Coverings', '', 'Laminate', 'Tile', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'RangeOven', '', 'Heating & Cooling', 'Central AC', '', 'Central Heating']",https://www.forsalebyowner.com/listing/1015-N--Michillinda-Ave----301-Pasadena-CA/5da1134ae49e3a3b098b4567
"$525,000","1,650 sq. ft. | 2 beds | 2.5 baths","69777 Burlwood Drive   Mountain Center,                     CA 92561","['Square Feet: 1,650', '', 'Bedrooms: 2', 'Bathrooms: 2.5', 'Additional Rooms: 1', '            MasterBath    ', '', 'Floor Coverings', '', 'Tile', 'Hardwood', 'Other', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'Dryer', 'RangeOven', 'Washer', '', 'Interior Keywords:', '', 'FireplaceFurnished']",https://www.forsalebyowner.com/listing/69777-Burlwood-Drive-Mountain-Center-CA/5da0dcf9e49e3a12678b456c
"$449,000",874 sq. ft. | 2 beds | 1 baths,"5642 Lime Avenue   Long Beach,                     CA 90805","['Square Feet: 874', '', 'Bedrooms: 2', 'Bathrooms: 1', 'Additional Rooms: 1', '            DiningRoom    ', '', 'Floor Coverings', '', 'Tile', 'Hardwood', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'RangeOven']",https://www.forsalebyowner.com/listing/5642-Lime-Avenue-Long-Beach-CA/5da54352e49e3a134b8b456d
"$305,000","1,400 sq. ft. | 3 beds | 2 baths","29985 California 94   Campo,                     CA 91906","['Square Feet: 1,400', '', 'Bedrooms: 3', 'Bathrooms: 2', 'Additional Rooms: 4', '            MasterBath    ', '', '            DiningRoom    ', '', '            FamilyRoom    ', '', '            LaundryRoom    ', '', 'Floor Coverings', '', 'Carpet', 'Tile', '', 'Appliances', '', 'Dishwasher', 'Refrigerator', 'Microwave', 'Dryer', 'Freezer', 'RangeOven', 'Washer', '', 'Interior Keywords:', '', 'Security System']",https://www.forsalebyowner.com/listing/29985-California-94-Campo-CA/5d9e15d2e49e3a8e398b4568
"$325,000","1,981 sq. ft. | 4 beds | 2 baths","ON THE GOLF COURSE 5400 Singing Hills Drive   Las Vegas,                     NV 89130","['Square Feet: 1,981', '', 'Bedrooms: 4', 'Bathrooms: 2', 'Additional Rooms: 8', '            BreakfastNook    ', '', '            MasterBath    ', '', '            DiningRoom    ', '', '            FamilyRoom    ', '', '            LaundryRoom    ', '', '            Pantry    ', '', '            WalkInCloset    ', '', '            RecreationRoom    ', '', 'Floor Coverings', '', 'Carpet', 'Tile', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'Dryer', 'Freezer', 'RangeOven', 'Washer', '', 'Heating & Cooling', 'Central AC', '', 'Central Heating', '', 'Interior Keywords:', '', 'FireplaceFurnishedJetted Bathtub']",https://www.forsalebyowner.com/listing/ON-THE-GOLF-COURSE-5400-Singing-Hills-Drive-Las-Vegas-NV/5df8e5bbe49e3ae0248b4567
"$795,500","1,824 sq. ft. | 3 beds | 2.5 baths","1310 Mandalay Beach Road   Oxnard,                     CA 93035","['Square Feet: 1,824', '', 'Bedrooms: 3', 'Bathrooms: 2.5', 'Additional Rooms: 5', '            MasterBath    ', '', '            DiningRoom    ', '', '            FamilyRoom    ', '', '            LaundryRoom    ', '', '            WalkInCloset    ', '', 'Floor Coverings', '', 'Carpet', 'Laminate', 'Tile', 'Other', '', 'Appliances', '', 'Dishwasher', 'GarbageDisposal', 'Refrigerator', 'Microwave', 'Dryer', 'Freezer', 'RangeOven', 'Washer', '', 'Heating & Cooling', 'Central Heating', '', 'Interior Keywords:', '', 'FireplaceSecurity SystemFurnished']",https://www.forsalebyowner.com/listing/1310-Mandalay-Beach-Road-Oxnard-CA/5d9f642de49e3a7e398b4569
"$84,000","1,000 sq. ft. | 2 beds | 1 baths","10707 jamacha Blvd # 14   Spring valley,                     CA 91978","['Square Feet: 1,000', '', 'Bedrooms: 2', 'Bathrooms: 1', 'Floor Coverings', '', 'Laminate', '', 'Appliances', '', 'Refrigerator', 'Microwave', 'Dryer', 'TrashCompactor', 'Freezer', 'Washer', '', 'Interior Keywords:', '', 'FurnishedHottub/Spa']",https://www.forsalebyowner.com/listing/10707-jamacha-Blvd---14-Spring-valley-CA/5d9fd414e49e3a74648b456a
