property_type,property_price,property_description,property_address,property_hyperlink
house for sale,"$595,000",2 Beds | 1 Bath | 756 Sq. Ft.,"3327 Meade Ave, San Diego, CA 92116",https://www.redfin.com/CA/San-Diego/3327-Meade-Ave-92116/home/5323712
house for sale,"$725,000","3 Beds | 3 Baths | 1,500 Sq. Ft.","8234 Caminito Sonoma, La Jolla, CA 92037",https://www.redfin.com/CA/La-Jolla/8234-Caminito-Sonoma-92037/home/4883983
house for sale,"$675,000","4 Beds | 2.5 Baths | 1,636 Sq. Ft.","9503 Compass Point Dr S, San Diego, CA 92126",https://www.redfin.com/CA/San-Diego/9503-Compass-Point-Dr-S-92126/home/4793687
house for sale,"$829,500","3 Beds | 2 Baths | 1,593 Sq. Ft.","3156 Harbor Ridge Ln, San Diego, CA 92103",https://www.redfin.com/CA/San-Diego/3156-Harbor-Ridge-Ln-92103/home/6605941
house for sale,"$775,000","2 Beds | 2 Baths | 1,055 Sq. Ft.","7411 Herschel Ave Unit 2B, La Jolla, CA 92037",https://www.redfin.com/CA/La-Jolla/7411-Herschel-Ave-92037/unit-2B/home/6605345
house for sale,"$599,000","3 Beds | 3 Baths | 1,240 Sq. Ft.","2602 Torrey Pines Rd Unit C11, La Jolla, CA 92037",https://www.redfin.com/CA/La-Jolla/2602-Torrey-Pines-Rd-92037/unit-C11/home/4879259
house for sale,"$1,695,000","5 Beds | 6 Baths | 5,599 Sq. Ft.","14810 Old Creek Rd, San Diego, CA 92131",https://www.redfin.com/CA/San-Diego/14810-Old-Creek-Rd-92131/home/7515554
house for sale,"$499,000",2 Beds | 1 Bath | 597 Sq. Ft.,"3565 Monroe Ave, San Diego, CA 92116",https://www.redfin.com/CA/San-Diego/3565-Monroe-Ave-92116/home/5315437
house for sale,"$799,000","3 Beds | 2 Baths | 1,543 Sq. Ft.","2926 Mobley St, San Diego, CA 92123",https://www.redfin.com/CA/San-Diego/2926-Mobley-St-92123/home/5214823
house for sale,"$549,900","3 Beds | 2.5 Baths | 1,698 Sq. Ft.","1539 Bridgeview Dr, San Diego, CA 92105",https://www.redfin.com/CA/San-Diego/1539-Bridgeview-Dr-92105/home/5832171
house for sale,"$999,999","2 Beds | 2.5 Baths | 1,291 Sq. Ft.","645 Front St #1805, San Diego, CA 92101",https://www.redfin.com/CA/San-Diego/645-Front-St-92101/unit-1805/home/6564508
house for sale,"$659,000",2 Beds | 1.5 Baths | 960 Sq. Ft.,"575 6Th Ave #804, San Diego, CA 92101",https://www.redfin.com/CA/San-Diego/575-Sixth-Ave-92101/unit-804/home/17201241
house for sale,"$325,000",1 Bed | 1 Bath | 974 Sq. Ft.,"4060 Union Square Ln, San Diego, CA 92105",https://www.redfin.com/CA/San-Diego/4060-Union-Square-Ln-92105/home/21901469
house for sale,"$689,000","2 Beds | 2 Baths | 1,509 Sq. Ft.","1557 9Th Ave, San Diego, CA 92101",https://www.redfin.com/CA/San-Diego/1557-Ninth-Ave-92101/home/6518787
house for sale,"$789,000","2 Beds | 2 Baths | 1,006 Sq. Ft.","4312 Falcon St, San Diego, CA 92103",https://www.redfin.com/CA/San-Diego/4312-Falcon-St-92103/home/5285723
house for sale,"$434,000",1 Bed | 1 Bath | 870 Sq. Ft.,"1441 9Th Ave #309, San Diego, CA 92101",https://www.redfin.com/CA/San-Diego/1441-Ninth-Ave-92101/unit-309/home/12153983
house for sale,"$749,000","3 Beds | 2 Baths | 1,340 Sq. Ft.","11019 Canyon Mesa Ln, San Diego, CA 92126",https://www.redfin.com/CA/San-Diego/11019-Canyon-Mesa-Ln-92126/home/4588472
house for sale,"$305,000",1 Bed | 1 Bath | 648 Sq. Ft.,"10669 San Diego Msn #107, San Diego, CA 92108",https://www.redfin.com/CA/San-Diego/10669-San-Diego-Mission-Rd-92108/unit-107/home/5233724
house for sale,"$729,900","4 Beds | 2 Baths | 1,434 Sq. Ft.","2547 Moonstone Dr, San Diego, CA 92123",https://www.redfin.com/CA/San-Diego/2547-Moonstone-Dr-92123/home/5214243
house for sale,"$619,000","3 Beds | 2 Baths | 1,405 Sq. Ft.","8838 Friant St, San Diego, CA 92126",https://www.redfin.com/CA/San-Diego/8838-Friant-St-92126/home/4797548
house for sale,"$799,777","2 Beds | 2 Baths | 1,133 Sq. Ft.","1550 Technology Dr #1035, San Jose, CA 95110",https://www.redfin.com/CA/San-Jose/6032-Golden-Vista-Dr-95123/home/69365129
house for sale,"$1,189,000","4 Beds | 2.5 Baths | 2,165 Sq. Ft.","6032 Golden Vista Dr, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/2131-Oakland-Rd-95131/home/28894949
house for sale,"$988,000","4 Beds | 4 Baths | 1,573 Sq. Ft.","2131 Oakland Rd, SAN JOSE, CA 95131",https://www.redfin.com/CA/San-Jose/1318-Sippola-Way-95121/home/1186834
house for sale,"$750,000","4 Beds | 2 Baths | 1,207 Sq. Ft.","1318 Sippola Way, SAN JOSE, CA 95121",https://www.redfin.com/CA/San-Jose/4217-Voltaire-St-95135/home/1053092
house for sale,"$1,059,000","3 Beds | 2.5 Baths | 1,532 Sq. Ft.","4217 Voltaire St, SAN JOSE, CA 95135",https://www.redfin.com/CA/San-Jose/6357-Cottle-Rd-95123/home/603968
house for sale,"$875,000","3 Beds | 2 Baths | 1,502 Sq. Ft.","6357 Cottle Rd, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/6157-Cottle-Rd-95123/home/806908
house for sale,"$960,000","3 Beds | 2 Baths | 1,536 Sq. Ft.","6157 Cottle Rd, SAN JOSE, CA 95123",https://www.redfin.com/CA/San-Jose/1524-Roberts-Ave-95122/home/877407
house for sale,"$795,000","3 Beds | 2 Baths | 1,252 Sq. Ft.","1524 Roberts Ave, SAN JOSE, CA 95122",https://www.redfin.com/CA/San-Jose/2180-Sufonet-Dr-95124/home/714980
house for sale,"$1,050,000","3 Beds | 2 Baths | 1,171 Sq. Ft.","2180 Sufonet Dr, SAN JOSE, CA 95124",https://www.redfin.com/CA/San-Jose/1762-Fumia-Dr-95131/home/691484
house for sale,"$1,395,000","4 Beds | 2.5 Baths | 2,287 Sq. Ft.","1762 Fumia Dr, SAN JOSE, CA 95131",https://www.redfin.com/CA/San-Jose/1336-San-Tomas-Aquino-Rd-95130/home/757083
house for sale,"$1,598,000","4 Beds | 3 Baths | 2,553 Sq. Ft.","1336 San Tomas Aquino Rd, SAN JOSE, CA 95130",https://www.redfin.com/CA/San-Jose/4309-Verdigris-Cir-95134/home/767461
