property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info
Single Family Residence,"$399,000 ","6339 California Ave, Bell, CA 90201",3 beds | 1 bath | year built in: 1921,806,"Beautiful turnkey home, with all the charm and warmth you could ask for.  Has been fully remodeled!!  New roof, new foundation central heating and air conditioner.  Too much to mention  A MUST SEE!!!",MLS # : CRPW20012287
Townhouse,"$999,900 ","357 California St, Arcadia, CA 91006",3 beds | 3 bath | year built in: 2000,"2,484","Beautiful 2-story detached townhouse built in 2000. Gated complex. Arcadia Schools!! Features 3 bedrooms, 3 full bathroom, 2,485 SF of
living area. new vinyl floor on the first floor, new interior paints, living room with high ceiling, fireplace, double door entrance, formal dining room and family room. Kitchen with granite counter-top, stainless steel appliances. Spacious master suite with large closet, jacuzzi tub. Wooden window shutters throughout, bonus upstairs loft area, laundry room. Backyard patio for entertaining and 2-car attached garage with direct access to the unit. Low HOA dues.",MLS Source : CRMLS
Single Family Residence,"$519,000 ","863 N California Ave, La Puente, CA 91744",3 beds | 2 bath | year built in: 1960,"1,230","An excellent starter home for any family! The home located in a quiet residential neighborhood and features 3 Bedrooms, 2 Bathrooms, along with TWO additional bonus rooms that can be used as extra bedrooms, office, family room, or hobby room, the possibilities are endless. The home has been freshly painted throughout, laminate and recesses lighting throughout, ceilings fans, newer AC unit, including natural light in all the bedrooms. The kitchen has been remodeled and features an open floor plan next to your dining area, custom cabinets, granite countertops, and can include all appliances if newer buyer wishes, or can be removed. 
The backyard is great for entertaining family, and friends all year long and ready for winter or warm summer days with its covered patio section, next to fruit trees. The long driveway provides plenty of extra parking (3-4 extra cars) and goes great with your attached double two-car garage that has plenty of storage space, along with washer and dryer hookups inside, a water softener tank, and a back door that leads to your backyard for easy access. The home is conveniently located 3 BLOCKS away from Sparks Elementary School, 3 Blocks from Fred M. Sparks Junior Highschool, about 4 blocks from Bishop Amat memorial Highschool, a b",Days on Site : 2
Single Family Residence,"$679,000 ","3545 California Ave, Long Beach, CA 90807",2 beds | 1 bath | year built in: 1936,"1,018","A prime example of a Traditional style home in the well sought after historic neighborhood of California Heights. Just a two block walk to award winning Lowell Middle School and Longfellow Elementary School. The vibrant shopping and dining establishments on Atlantic Avenue and Long Beach Boulevard are only a short stroll away. A wide expanse a fresh green lawn and walkway pavers leads you to the quaint covered front sitting porch. Freshly refinished original blond oak hardwood floors are throughout the home. The spacious light filled living room has a recessed front picture window and tandem will niches. The dining area overlooks the front porch and features original corner display shelves. The expanded kitchen has au courant black hex tile flooring, solid surface quartz countertops, high-end Jenn-Aire appliances and breakfast area with built-in corner benches. The stylish bathroom has corresponding smaller black hex tile flooring, separate stall shower and bath tub, generous counter space and a chic black deep steel framed mirror. Both bedroom feature corner windows, wall sconces and generous closet space. The back yard has a generous patio area ideal for entertaining, park-like lawn and prolific citrus trees. The oversized two car garage is equipped wit",Bedrooms : Ground Floor Bedroom
Townhouse,"$510,000 ","244 California Ct, Mission Viejo, CA 92692",2 beds | 2/1 bath | year built in: 1993,"1,111","Great size two bedroom town home located at private corner location.  Nobody above and below. First floor has tile floor. Sunny and bright living room with many windows and natural sun light. Kitchen is open to living room. New appliances . Landry room is inside the unit with hook up for full size washer and dryer. Completely remodeled  power room near entry. Private patio leading to living room for relaxation or entertainment. Attached one car garage is very convenient to carry groceries in. All new paint inside the room. Second floor has two dual master bed rooms and walk in closet.  Completely remodeled bath rooms in each room with ceiling fans. New carpet through two bedrooms and staircase. There is No Mello Roose.
California Court HOA has pool, Jacuzzi and play ground. Also includes Lake Mission Viejo Membership for fishing and water play.
The complex is located near schools, shopping, restaurants, lake, toll road and much more. Very comfortable to live in  !!!!",Bathrooms : -
Single Family Residence,"$1,449,500 ","308 California St, Huntington Beach, CA 92648",4 beds | 2/1 bath | year built in: 1984,"3,300","Views! Views!! Views!!!

First time ever on market. One of the premier locations downtown and a once-in-a-lifetime opportunity you DON'T WANT TO MISS!!!!!

One of the best locations in the entire Huntington Beach Downtown.  Perched on a bluff above a park on an extremely quiet street, this property is in the middle of everything, yet it is peaceful and quiet.  Approx. 750 yards to the Beach and HB Pier, 500 yards to Main St, and less than half a mile to Pacific City, this approx 3,300 sq ft home has magnificent views from almost every room, a 3 car garage with a workshop, RV parking, and a 1,000+ sq ft rooftop deck with unbelievable 360 degree views.  This deck can easily be turned into a paradise.  Two bedrooms big enough for queen beds and two can fit King beds. 4th Bedroom currently used as Living Room with built-in bar.",Kitchen : Other
Single Family Residence,"$318,000 ","5567 California St, Chico, CA 95973",3 beds | 2 bath | year built in: 1978,"1,347","This property offers great homeowner-living value, just a short drive from central Chico.  The home has ""fully owned & paid for"" solar and is an all-electric home!  The home has a large fully fenced corner lot with established fruit trees and excellent soil.  There is room to park your RV and still grow your own fruits and vegetables!  The home has a private well and private septic both of which have been inspected and passed. There is a wood-burning stove in the family room,  there is an attached 2 car garage, and a newer inspected composition shingle roof.  Don't miss this great opportunity for starting to build your equity, or to downsize from your large, expensive to operate home to this low-cost to operate home. The home is just down the street from Nord Elementary School in the small rural neighborhood of Nord.  Family orchard includes several mature fruit trees including; cherry, orange, Fuyu persimmon, plum, pomegranate, peach, pear, grapevines and more.",Dining Room : -
Condominium,"$575,000 ","2025 California, Mountain View, CA 94040",1 beds | 1 bath | year built in: 1965,668,"WOW! Beautiful updated condo in a gated courtyard community. Must see to appreciate! Private unit has tall privacy fence enclosing a generous size private patio. In the kitchen you'll find gorgeous solid granite counters, dishwasher, and built-in microwave. Plus wood-laminate flooring throughout the living spaces, recessed lights, electric fireplace, and dual pane windows. There is no lack of storage with a spacious bedroom closet with custom closet organizer, PLUS separate coat closet AND linen closet. There is an additional storage room assigned to this unit in the building as well. Close to public transportation, Caltrain, Rengstorff park, shopping and downtown.",Family Room : -
Condominium,"$429,900 ","4505 N California Ave #513, Long Beach, CA 90807",2 beds | 2 bath | year built in: 1974,"1,201","Minimal down for owner occupy. This one qualify for FHA BIXBY KNOLLS PENTHOUSE CONDO in exceptional well build building. Top story with easy access by ground floor elevator. No steps to climb. Bright and sunny exposure with beautiful treetop and city lights view. Enclosed balcony, duel energy efficient windows. Kitchen with granite counters and spacious breakfast room. Hardwood floors in living room, dinning area and bedrooms, custom fireplace. Central AC and forced air heating with efficient heat pump. Perfect conditions and move -in ready. Most furniture are included. Located in walking distance to stores and services. Low HOA, low tax rate and no Mellow-Roos tax",Fireplace : None
Single Family Residence,"$280,000 ","791 California St, Chico, CA 95928",2 beds | 1 bath | year built in: 1990,"1,044","Perfectly updated Chico Charmer. This open floor plan is inviting, light and airy. Including a new roof, new appliances and an updated kitchen and bathroom. Set back off the road with plenty of front yard space and a new fully enclosed fence in the backyard for additional privacy and or pets. Great location with easy access to shopping, freeways, schools and downtown.",Flooring : -
