property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info,property_href,location,near_schools,walkscore_url,walkscore
Single Family Residence,"$1,395,000 ","5356 Estates Drive, Oakland, CA 94618",3 beds | 3 bath | year built in: 1951,"2,081","Magical Mid-Century Modern on expansive lot with two street frontages in Upper Rockridge. Urban oasis with park-like setting with views of hills & vistas nestled amongst mature Oaks, Pines and Cypress trees. Huge deck for indoor/outdoor entertaining with picture windows from the living room, dining room and kitchen. 3 bedrooms and 2 baths on main floor, plus lower level rumpus room and bathroom with in-law potential. Plus 2-car attached garage, workshop, storage & original sports court. Truly a one of a kind gem on a very special site, peaceful and secluded yet just minutes to Rockridge, Montclair & Piedmont. Open Sat & Sun 2-4","['MLS # : EB40893267', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s),  Tile', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave, Oven Range - Built-In, Oven Range - Gas,  Refrigerator,  Dryer,  Washer, Island,  Updated', 'Dining Room : Formal Dining Room', 'Family Room : Separate Family Room', 'Fireplace : Living Room', 'Flooring : Carpet - Wall to Wall,  Hardwood,  Tile,  Vinyl', 'Laundry : In Garage', 'Cooling : None', 'Heating : Heating - 2+ Zones', 'Roof : Composition', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : -', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Gate/Door Opener, Garage: 2 Car(s)', 'Elementary District : Oakland Unified', 'High School District : Oakland Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : -', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/eb40893267/5356-estates-drive-oakland-ca-94618/10432626,lat=37.8367983 | lng=-122.2220677,"['Thornhill Elementary School Public K-5 0.58 mi 9', 'Hillcrest Elementary School Public K-8 0.64 mi 9', 'Montclair Elementary School Public K-5 0.64 mi 9', 'Havens Elementary School Public K-5 0.96 mi 9', 'Piedmont High School Public 9-12 1.09 mi 10', 'Piedmont Adult Education Public n/a 1.09 mi N/A', 'Piedmont Middle School Public 6-8 1.14 mi 10', 'Millennium High Alternative School Public 9-12 1.17 mi N/A', 'Kaiser Elementary School Public K-5 1.25 mi 7', 'Wildwood Elementary School Public K-5 1.38 mi 9', 'Chabot Elementary School Public K-5 1.5 mi 9', 'Piedmont Avenue Elementary School Public K-5 1.56 mi 2', 'Beach Elementary School Public K-5 1.6 mi 9', 'Montera Middle School Public 6-8 1.68 mi 4', 'Joaquin Miller Elementary School Public K-5 1.69 mi 7', 'Claremont Middle School Public 6-8 1.75 mi 6', 'Crocker Highlands Elementary School Public K-5 1.79 mi 10', 'Oakland Technical High School Public 9-12 1.79 mi 7', 'John Muir Elementary School Public K-5 1.93 mi 6', 'Emerson Elementary School Public K-5 1.94 mi 1']",https://www.walkscore.com/score/loc/lat=37.8367983/lng=-122.2220677/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,16
Single Family Residence,"$1,050,000 ","1175 Trestle Glen Rd, Oakland, CA 94610",4 beds | 2 bath | year built in: 1929,"1,481","Crocker Highlands Charmer! Split Level, 3 BR's, 2 Bath's ""plus"" w/separate entrance ...lots of the old world charm with original details and nice trendy updates! Refinished hardwoods floors, fresh paint, upgraded appliances, eat in kitchen, lovely fenced back yard situated on a delightful, friendly, quiet stretch of Trestle Glen Road! Enjoy Saturday Farmer's Market, Grand & Lakeshore shopping, Grand Lake Theater, Lake Merritt, and much more! Dream commuter location to SF via Transbay and casual carpool. Welcome Home!","['MLS # : EB40893269', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Solid Surface, Stall Shower(s),  Tile', 'Kitchen : Dishwasher, Oven - Built-In, Oven - Double, Oven Range - Built-In,  Refrigerator,  Dryer,  Washer, Countertop - Stone, Eat In Kitchen', 'Dining Room : -', 'Family Room : -', 'Fireplace : Living Room, Wood Burning', 'Flooring : Hardwood,  Laminate,  Tile', 'Laundry : 220 Volt Outlet, In Garage', 'Cooling : None', 'Heating : Forced Air', 'Roof : Composition', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : Craftsman', 'Horse Property : -', 'Garage/Parking : Access - Interior, Access - Side Yard, Attached Garage,  Garage, Off-Street Parking, Garage: 1 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $195', 'Complex Amenities : Garden / Greenbelt/ Trails', 'Zoning : -']",https://www.mlslistings.com/property/eb40893269/1175-trestle-glen-rd-oakland-ca-94610/10432740,lat=37.807048 | lng=-122.2319079,"['Edna Brewer Middle School Public 6-8 0.26 mi 6', 'Oakland High School Public 9-12 0.28 mi 2', 'Crocker Highlands Elementary School Public K-5 0.39 mi 10', 'Bella Vista Elementary School Public K-5 0.55 mi 5', 'Cleveland Elementary School Public K-5 0.69 mi 7', 'Glenview Elementary School Public K-5 0.73 mi 6', 'Wildwood Elementary School Public K-5 0.9 mi 9', 'Millennium High Alternative School Public 9-12 1.1 mi N/A', 'Piedmont Middle School Public 6-8 1.12 mi 10', 'Manzanita Community Public K-5 1.12 mi 1', 'Manzanita Seed Public K-5 1.12 mi 4', 'Piedmont Adult Education Public n/a 1.14 mi N/A', 'Piedmont High School Public 9-12 1.16 mi 10', 'Sequoia Elementary School Public K-5 1.17 mi 6', 'Fruitvale Elementary School Public K-5 1.23 mi 1', 'Roosevelt Middle School Public 6-8 1.25 mi 3', 'Franklin Elementary School Public K-5 1.29 mi 4', 'Havens Elementary School Public K-5 1.3 mi 9', 'Beach Elementary School Public K-5 1.4 mi 9', 'Neighborhood Centers Adult Education Public n/a 1.41 mi N/A']",https://www.walkscore.com/score/loc/lat=37.807048/lng=-122.2319079/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,64
Single Family Residence,"$754,000 ","5362 Hillflower Drive, Livermore, CA 94551",3 beds | 2/1 bath | year built in: 1990,"1,567","Welcome to this beautiful 3 bed 2,5 bath single family home with lots of natural lighting and many recent upgrades. Open and inviting vaulted ceilings in the living room and all bedrooms. Newly remodeled kitchen with granite counter top, drinking hot and cold-water filter, energy efficient LED lighting, stainless steel appliances. Spacious and charming living room features newly rebuilt and nicely decorated wood burning fireplace, stylish laminate flooring and chandelier. Large and bright master bedroom suite. The nice sized low maintenance back yard with extended patio, new free-standing deck and grill gazebo is ready for the summer months. Fruit trees - cherries, lemons, apricot, pomegranate, oranges and plums. Extended driveway for 3 cars. Convenient location: less than 1 mile to 580, close to schools, parks, restaurants, shopping and downtown. No HOA fees.","['MLS # : BE40893256', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Other, Shower(s) over Tub(s), Solid Surface,  Tile', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave, Oven Range,  Dryer,  Washer, Countertop - Solid Surface / Corian, Countertop - Stone,  Updated', 'Dining Room : Dining Area,  Other', 'Family Room : -', 'Fireplace : Living Room, Wood Burning', 'Flooring : Carpet - Wall to Wall,  Laminate', 'Laundry : In Garage', 'Cooling : Ceiling Fan, Central -1 Zone', 'Heating : Forced Air', 'Roof : Tile', 'Foundation : Raised', 'Pool : None, Pool - No', 'Style : Contemporary', 'Horse Property : -', 'Garage/Parking : Access - Interior, Attached Garage,  Garage, Gate/Door Opener,  Other, Garage: 2 Car(s)', 'Elementary District : Livermore Valley Joint Unified', 'High School District : Livermore Valley Joint Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/be40893256/5362-hillflower-drive-livermore-ca-94551/10432518,lat=37.7102495 | lng=-121.7310565,"['Leo R. Croce Elementary School Public PK-5 0.5 mi 4', 'Altamont Creek Elementary School Public K-5 1.09 mi 7', 'Andrew N. Christensen Middle School Public 6-8 1.14 mi 7', 'Arroyo Seco Elementary School Public K-5 1.85 mi 6', 'Jackson Avenue Elementary School Public K-5 1.87 mi 6']",https://www.walkscore.com/score/loc/lat=37.7102495/lng=-121.7310565/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,34
Single Family Residence,"$849,900 ","4757 Dogwood Ave, Fremont, CA 94536",3 beds | 2 bath | year built in: 1953,"1,166","Charming single-level 3BD 2BA home located in the Glenmoor Elementary School district. Large open-beam great room floorplan & adjoining remodeled kitchen w/breakfast bar, granite countertops, full subway backsplash, S/S appliances, gas range, track lighting. Both bathrooms remodeled w/new vanities, fixtures, tile floors & jetted tub in hall bath*New laminate (LVP) floors thru-out w/4""+ baseboards*DP windows*New doors/hardware*New light fixtures*Freshly painted int/ext*Tankless water heater*All new landscaping front/back w/sprinklers*Yard completely enclosed w/cedar plank gate which opens to allow access to large concrete area perfect for RV/boat, extra vehicles or even children to play in a secured space*She shed in backyard*Great location offering quick access to many high-tech firms, major commute arteries (880, Dumbarton), shopping & schools, making this an excellent place to call home!","['MLS # : ML81780105', 'MLS Source : MLSL', 'Days on Site : 0', 'Bedrooms : Ground Floor Bedroom, More than One Bedroom on Ground Floor', 'Bathrooms : Dual Flush Toilet, Showers over Tubs - 2+,  Tile, Tub in Master Bedroom, Tub w/Jets, Full on Ground Floor, Oversized Tub', 'Kitchen : Dishwasher, Exhaust Fan, Garbage Disposal, Hood Over Range, Oven - Self Cleaning, Oven Range - Gas, Countertop - Granite, Exhaust Fan', 'Dining Room : Dining Area in Living Room', 'Family Room : No Family Room', 'Fireplace : Living Room, Wood Burning', 'Flooring : Laminate,  Tile', 'Laundry : Hookup - Gas Dryer', 'Cooling : None', 'Heating : Central Forced Air - Gas', 'Roof : Tar/Gravel', 'Foundation : Slab', 'Pool : -', 'Style : Eichler,  Flat', 'Horse Property : -', 'Garage/Parking : Enclosed, No Garage, Room for Oversized Vehicle, Garage: 0 Car(s)', 'Elementary District : Fremont Unified', 'High School District : Fremont Unified', 'Unit Levels : -', 'Sewer : -', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : R1']",https://www.mlslistings.com/property/ml81780105/4757-dogwood-ave-fremont-ca-94536/10432515,lat=37.546664 | lng=-122.010067,"['Glenmoor Elementary School Public K-6 0.29 mi 7', 'John G. Mattos Elementary School Public K-6 0.6 mi 6', 'Tom Maloney Elementary School Public K-6 0.65 mi 7', 'Thornton Junior High School Public 7-8 0.77 mi 8', 'Centerville Junior High Public 7-8 0.77 mi 7', 'Cabrillo Elementary School Public K-6 0.79 mi 5', 'Washington High School Public 9-12 0.92 mi 8', 'Oliveira Elementary School Public K-6 1.04 mi 7', 'Birch Grove Intermediate Public 3-6 1.12 mi 6', 'Young Adult Program Public 9-12 1.16 mi N/A', 'Fremont Adult Public n/a 1.22 mi N/A', 'E. L. Musick Elementary School Public K-6 1.23 mi 4', 'Birch Grove Primary Public K-6 1.24 mi N/A', 'American High School Public 9-12 1.25 mi 10', 'Joseph Azevada Elementary School Public K-6 1.4 mi 8', 'Brier Elementary School Public K-6 1.48 mi 6', 'G. M. Walters Junior High School Public 7-8 1.48 mi 5', 'Newark Junior High School Public 7-8 1.5 mi 4', 'Bridgepoint High (Continuation) School Public 9-12 1.55 mi N/A', 'Crossroads High (Alternative) School Public K-12 1.55 mi 2']",https://www.walkscore.com/score/loc/lat=37.546664/lng=-122.010067/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,34
Single Family Residence,"$600,000 ","3316 Coolidge Avenue, Oakland, CA 94602",2 beds | 2 bath | year built in: 1918,"1,241","Great opportunity to own a piece of the American  Dream.  This home has hardwood floors, a fireplace, an updated kitchen and lots of bonus space.  It is quite versatile.  The lower level has a separate entrance. The back yard has been lovingly transformed with various areas for entertaining.  There is also a shed which would be perfect for a home office or workout/yoga room. It is close to all the Laurel and Fruitvale neighborhoods have to offer. 'Bed count differs from the public record. Buyer to verify. Neither Seller nor Listing Agent has verified the accuracy of any of these sources of information.'","['MLS # : EB40893264', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s)', 'Kitchen : Dishwasher, Oven Range,  Refrigerator,  Dryer,  Washer, Countertop - Solid Surface / Corian', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : None', 'Laundry : None', 'Cooling : None', 'Heating : Forced Air', 'Roof : Composition', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : Bungalow', 'Horse Property : -', 'Garage/Parking : No Garage, No Parking, Garage: 0 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/eb40893264/3316-coolidge-avenue-oakland-ca-94602/10432524,lat=37.7960599 | lng=-122.2108967,"['Fruitvale Elementary School Public K-5 0.17 mi 1', 'Bret Harte Middle School Public 6-9 0.4 mi 2', 'Sequoia Elementary School Public K-5 0.44 mi 6', 'Allendale Elementary School Public K-5 0.6 mi 1', 'Manzanita Community Public K-5 0.76 mi 1', 'Manzanita Seed Public K-5 0.76 mi 4', 'Glenview Elementary School Public K-5 0.78 mi 6', 'Laurel Elementary School Public K-5 0.81 mi 2', 'Life Academy Public 6-12 0.88 mi 3', 'United For Success Academy Public 6-8 0.88 mi 1', 'Edna Brewer Middle School Public 6-8 1.16 mi 6', 'Global Family School Public K-5 1.17 mi 2', 'Urban Promise Academy Public 6-8 1.22 mi 2', 'Melrose Leadership Academy Public PK-8 1.31 mi 3', 'Redwood Heights Elementary School Public K-5 1.36 mi 5', 'Crocker Highlands Elementary School Public K-5 1.4 mi 10', 'Bella Vista Elementary School Public K-5 1.47 mi 5', 'Fremont High Public 9-12 1.51 mi 1', 'Garfield Elementary School Public K-5 1.51 mi 2', 'Oakland High School Public 9-12 1.55 mi 2']",https://www.walkscore.com/score/loc/lat=37.7960599/lng=-122.2108967/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,84
Single Family Residence,"$849,900 ","4757 Dogwood Avenue, Fremont, CA 94536",3 beds | 2 bath | year built in: 1953,"1,166","Charming single-level 3BD 2BA home located in the Glenmoor Elementary School district. Large open-beam great room floorplan & adjoining remodeled kitchen w/breakfast bar, granite countertops, full subway backsplash, S/S appliances, gas range, track lighting. Both bathrooms remodeled w/new vanities, fixtures, tile floors & jetted tub in hall bath*New laminate (LVP) floors thru-out w/4”+ baseboards*DP windows*New doors/hardware*New light fixtures*Freshly painted int/ext*Tankless water heater*All new landscaping front/back w/sprinklers*Yard completely enclosed w/cedar plank gate which opens to allow access to large concrete area perfect for RV/boat, extra vehicles or even children to play in a secured space*”She” shed in backyard*Great location offering quick access to many high-tech firms, major commute arteries (880, Dumbarton), shopping & schools, making this an excellent place to call home!","['MLS # : BE40893265', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s),  Tile, Tub w/Jets, Updated Bath(s)', 'Kitchen : Dishwasher, Garbage Disposal, Oven - Self Cleaning, Oven Range - Gas, Breakfast Bar, Countertop - Stone', 'Dining Room : Other', 'Family Room : -', 'Fireplace : Brick, Living Room', 'Flooring : Laminate,  Tile', 'Laundry : Hookups Only, Laundry Area - In Unit', 'Cooling : Air Conditioning - None', 'Heating : Forced Air,  Gas', 'Roof : Tar/Gravel', 'Foundation : Slab', 'Pool : None, Pool - No', 'Style : -', 'Horse Property : -', 'Garage/Parking : Access - Side Yard, No Garage, Parking Area, RV/Boat Parking, Garage: 0 Car(s)', 'Elementary District : Fremont Unified', 'High School District : Fremont Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : -', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/be40893265/4757-dogwood-avenue-fremont-ca-94536/10432519,lat=37.5466947 | lng=-122.0100641,"['Glenmoor Elementary School Public K-6 0.29 mi 7', 'John G. Mattos Elementary School Public K-6 0.6 mi 6', 'Tom Maloney Elementary School Public K-6 0.65 mi 7', 'Thornton Junior High School Public 7-8 0.77 mi 8', 'Centerville Junior High Public 7-8 0.77 mi 7', 'Cabrillo Elementary School Public K-6 0.79 mi 5', 'Washington High School Public 9-12 0.92 mi 8', 'Oliveira Elementary School Public K-6 1.04 mi 7', 'Birch Grove Intermediate Public 3-6 1.12 mi 6', 'Young Adult Program Public 9-12 1.16 mi N/A', 'Fremont Adult Public n/a 1.22 mi N/A', 'E. L. Musick Elementary School Public K-6 1.23 mi 4', 'Birch Grove Primary Public K-6 1.24 mi N/A', 'American High School Public 9-12 1.25 mi 10', 'Joseph Azevada Elementary School Public K-6 1.4 mi 8', 'Brier Elementary School Public K-6 1.48 mi 6', 'G. M. Walters Junior High School Public 7-8 1.48 mi 5', 'Newark Junior High School Public 7-8 1.5 mi 4', 'Brookvale Elementary School Public K-6 1.55 mi 7', 'Bridgepoint High (Continuation) School Public 9-12 1.55 mi N/A']",https://www.walkscore.com/score/loc/lat=37.5466947/lng=-122.0100641/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,34
Single Family Residence,"$1,290,000 ","42945 Fremont Blvd, Fremont, CA 94538",4 beds | 3 bath | year built in: 1954,"1,604","Newly remodeled in 2016 with a new 500 SF front addition to include another master suite, and a living room. Total of 2 master suites with 2 more bedrooms and a hallway bathroom. Interior and exterior of the house was completely redone. Spacious and bright open kitchen and family room concept with granite countertops and a breakfast bar. Beautifully paved backyard with plenty of space for the kids to play. Within walking distance to excellent rated schools: Harvey Green Elem., Horner Jr. High, and Irvington High.","['MLS # : MR40893260', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Shower(s) over Tub(s), Solid Surface,  Tile, Updated Bath(s)', 'Kitchen : Dishwasher, Oven Range, Oven Range - Gas,  Refrigerator, Breakfast Bar, Countertop - Stone, Eat In Kitchen, Kitchen/Family Room Combo,  Updated', 'Dining Room : Dining Area', 'Family Room : Separate Family Room', 'Fireplace : None', 'Flooring : Laminate,  Tile', 'Laundry : Hookups Only, In Garage', 'Cooling : Central -1 Zone', 'Heating : Forced Air,  Gas', 'Roof : Composition', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : Contemporary', 'Horse Property : -', 'Garage/Parking : Attached Garage,  Garage, Off-Street Parking, Garage: 2 Car(s)', 'Elementary District : Fremont Unified', 'High School District : Fremont Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/mr40893260/42945-fremont-blvd-fremont-ca-94538/10432523,lat=37.5194159 | lng=-121.9558209,"['Harvey Green Elementary School Public K-6 0.15 mi 9', 'E. M. Grimmer Elementary School Public K-6 0.27 mi 7', 'Robertson High (Continuation) School Public 9-12 0.5 mi N/A', 'Vista Alternative School Public 7-12 0.5 mi 2', 'O. N. Hirsch Elementary School Public K-6 0.73 mi 8', 'John M. Horner Junior High School Public 7-8 0.75 mi 8', 'Irvington High School Public 9-12 0.76 mi 9', 'Steven Millard Elementary School Public K-6 1.0 mi 8', 'Mission Valley Elementary School Public K-6 1.23 mi 7', 'John Blacow Elementary School Public K-6 1.3 mi 5', 'John F. Kennedy High School Public 9-12 1.63 mi 7', 'Mission Valley Rocp School Public 9-12 1.64 mi N/A', 'J. Haley Durham Elementary School Public K-6 1.69 mi 7', 'Fred E. Weibel Elementary School Public K-6 1.73 mi 7', 'Joshua Chadbourne Elementary School Public K-6 1.81 mi 9', 'Mission San Jose Elementary School Public K-6 2.0 mi 9']",https://www.walkscore.com/score/loc/lat=37.5194159/lng=-121.9558209/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,59
Condominium,"$715,000 ","3206 Hannah Street, Oakland, CA 94608",2 beds | 1/1 bath | year built in: 1992,"1,276","Simplify and streamline your life: Live and work under one roof, in a high-design live/work loft in West Oakland.  Find a space for all that you need, whether indoors or out. Join an inventive community, & use what used to be your commute time to create. Come and enjoy this light, airy loft, known as the “Eagle’s Nest.” There are panoramic views, soaring ceilings, a chef’s kitchen, oversized workspace entry door, dedicated-use outdoor yard (plus landscaped shared courtyard), polished concrete and engineered hardwood floors. While there’s gated parking, you may not need a car, since it’s minutes to two different BART stations and Amtrak. Emeryville shopping, movies and dining are short blocks away, or you’re moments from the Bay Bridge. Open Sun 1/26, 2-4:30pm, and Sat/Sun 2/1 & 2/2, time TBD. Go Niners!","['MLS # : EB40893255', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Tile, Updated Bath(s)', 'Kitchen : Dishwasher, Garbage Disposal, Oven Range - Gas,  Refrigerator,  Dryer,  Washer, Countertop - Solid Surface / Corian, Eat In Kitchen,  Updated', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : Concrete,  Tile', 'Laundry : In Closet', 'Cooling : Ceiling Fan', 'Heating : Wall Furnace', 'Roof : Composition', 'Foundation : Slab', 'Pool : None, Pool - No', 'Style : Contemporary', 'Horse Property : -', 'Garage/Parking : Covered Parking, No Garage, Spaces per Unit - 1, Garage: 1 Car(s)', 'Elementary District : Oakland Unified', 'High School District : Oakland Unified', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : $493', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/eb40893255/3206-hannah-street-oakland-ca-94608/10432505,lat=37.82374 | lng=-122.286635,"['Oakland Adult And Career Education Public n/a 0.55 mi N/A', 'Edward Shands Adult Public n/a 0.55 mi N/A', 'Mcclymonds High School Public 9-12 0.6 mi 2', 'Hoover Elementary School Public K-5 0.67 mi 1', 'Ralph J. Bunche High School Public 9-12 0.74 mi 2', 'Emery Secondary School Public 9-12 0.88 mi 4', 'Anna Yates Elementary School Public K-8 0.92 mi 2', 'West Oakland Middle School Public 6-8 1.06 mi 1', 'Lafayette Elementary School Public 2-5 1.09 mi 1', 'Home And Hospital Program Public K-12 1.12 mi N/A', 'Street Academy (Alternative) Public 9-12 1.23 mi N/A', 'Preparatory Literary Academy Of Cultural Excellence Public K-5 1.23 mi 1', 'Martin Luther King, Jr. Elementary School Public PK-3 1.27 mi 2', 'Westlake Middle School Public 6-8 1.6 mi 1', 'Oakland International High School Public 9-12 1.6 mi 1', 'Young Adult Program Public n/a 1.73 mi N/A', 'Emerson Elementary School Public K-5 1.78 mi 1', 'Oakland Technical High School Public 9-12 1.87 mi 7', 'Lincoln Elementary School Public K-5 1.99 mi 7']",https://www.walkscore.com/score/loc/lat=37.82374/lng=-122.286635/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,78
Land,"$99,000 ","7228 Homewood Dr, Oakland, CA 94611",- beds | - bath | year built in: -,-,Downslope lot in great Montclair location. House next door listed separately. Seller would prefer to sell with the adjacent home.,"['MLS # : EB40893254', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Development Status : Other - Call Listing Agent', 'Existing Structures : -', 'Fencing : -', 'Lot Description : Corners Marked - No, Grade - Sloped Down', 'Present Use : -', 'Utilities : Gas - Not On Site, Electricity Not Available,  None, Water - Public', 'Garage/Parking : -', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : R']",https://www.mlslistings.com/property/eb40893254/7228-homewood-dr-oakland-ca-94611/10432503,lat=37.8387947 | lng=-122.1969756,"['Thornhill Elementary School Public K-5 0.82 mi 9', 'Montclair Elementary School Public K-5 1.02 mi 9', 'Montera Middle School Public 6-8 1.41 mi 4', 'Joaquin Miller Elementary School Public K-5 1.43 mi 7', 'Canyon Elementary School Public K-8 1.79 mi N/A', 'Hillcrest Elementary School Public K-8 1.97 mi 9']",https://www.walkscore.com/score/loc/lat=37.8387947/lng=-122.1969756/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,2
Single Family Residence,"$549,000 ","7244 Homewood Dr, Oakland, CA 94611",2 beds | 2 bath | year built in: 1949,"1,400","Mid-Century Modern with big tall windows! Great Montclair location. Home needs some TLC. Several upgrades have been done over the years. 2 additions were done with foundation upgrades. Newer furnace, newer water heater, freshly painted, newer cabinets and granite slab counter tops! A vacant adjacent lot is listed for sale next door at $99k separately!","['MLS # : EB40893251', 'MLS Source : MAXEBRDI', 'Days on Site : 0', 'Bedrooms : -', 'Bathrooms : Other', 'Kitchen : Dishwasher,  Microwave,  Other,  Refrigerator', 'Dining Room : Other', 'Family Room : -', 'Fireplace : Family Room, Free Standing', 'Flooring : Carpet - Wall to Wall,  Wood', 'Laundry : Other', 'Cooling : None', 'Heating : Forced Air,  Gas', 'Roof : Other', 'Foundation : Crawl Space', 'Pool : None, Pool - No', 'Style : -', 'Horse Property : -', 'Garage/Parking : Detached,  Garage, Garage: 2 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : Public Sewer', 'Water : Public', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : R']",https://www.mlslistings.com/property/eb40893251/7244-homewood-dr-oakland-ca-94611/10432499,lat=37.8387947 | lng=-122.1969756,"['Thornhill Elementary School Public K-5 0.82 mi 9', 'Montclair Elementary School Public K-5 1.02 mi 9', 'Montera Middle School Public 6-8 1.41 mi 4', 'Joaquin Miller Elementary School Public K-5 1.43 mi 7', 'Canyon Elementary School Public K-8 1.79 mi N/A', 'Hillcrest Elementary School Public K-8 1.97 mi 9']",https://www.walkscore.com/score/loc/lat=37.8387947/lng=-122.1969756/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,2
