property_type,property_price,property_address,property_details,property_area,property_description,property_mls_info,property_href,location,near_schools,walkscore_url,walkscore
Single Family Residence,"$690,000 ","5420 S Wilton Pl, Los Angeles, CA 90062",3 beds | 2 bath | year built in: 1922,"1,312","•Three bedrooms & Two Baths •1312 SF Living & 5858 SF Lot on R2 Zoned Lot •Inviting Open Floor Plan •Just Remodeled with all modern amenities: New Kitchen, Quartz Counter Top, New Self Closing Cabinets, All New Stainless Appliances •New Double Pane Windows & French Patio Doors •New Bathrooms, New Master Shower with Rainfall Shower Head •All New Flooring & Custom Painting and Crown Molding •Central Heating & AC •Beautiful Fire Place •All New LED Recessed Lighting •Large Entertaining Back Yard •One Car Garage with Plenty of Room to Park More Cars.","['MLS # : CRSB20002728', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom, Master Suite/Retreat', 'Bathrooms : -', 'Kitchen : Dishwasher, Garbage Disposal,  Microwave,  Other, Oven Range, Oven Range - Gas, Other', 'Dining Room : -', 'Family Room : -', 'Fireplace : Family Room, Gas Burning, Gas Starter, Wood Burning', 'Flooring : Laminate', 'Laundry : Hookup - Gas Dryer, In Kitchen,  Other, Stacked Only', 'Cooling : Central Forced Air', 'Heating : -', 'Roof : -', 'Foundation : Raised', 'Pool : None', 'Style : Craftsman', 'Horse Property : -', 'Garage/Parking : Carport,  Garage,  Other, Garage: 1 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR2']",https://www.mlslistings.com/property/crsb20002728/5420-s-wilton-pl-los-angeles-ca-90062/10410599,lat=33.992538 | lng=-118.3146653,"['Western Avenue Elementary School Public K-5 0.42 mi 1', 'Angeles Mesa Elementary School Public K-5 0.43 mi 2', 'Fifty-Ninth Street Elementary School Public K-5 0.51 mi 1', 'Whitney Young Continuation School Public 9-12 0.7 mi N/A', 'Barack Obama Global Preparation Academy Public 6-8 0.71 mi 1', 'Crenshaw Science, Technology, Engineering, Math And Medicine Magnet Public 9-12 0.91 mi 1', 'Forty-Second Street Elementary School Public K-5 1.06 mi 1', 'Yes Academy Public K-5 1.1 mi 1', 'Horace Mann Ucla Community Public K-12 1.12 mi N/A', 'Budlong Avenue Elementary School Public K-5 1.16 mi 2', 'Normandie Avenue Elementary School Public K-5 1.18 mi 2', 'Martin Luther King Jr. Elementary School Public K-5 1.35 mi 2', 'Seventy-Fourth Street Elementary School Public K-5 1.38 mi 4', 'John Muir Middle School Public 6-8 1.39 mi 2', 'Dr. James Edward Jones Primary Center Public K-2 1.42 mi N/A', 'Audubon Middle School Public 6-8 1.46 mi 1', 'Fifty-Second Street Elementary School Public K-5 1.58 mi 2', 'Augustus F. Hawkins High A Critical Design And Gaming Public 9-12 1.61 mi 2', 'Augustus F. Hawkins High B Community Health Advocates Public 9-12 1.61 mi 1', 'Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship Public 9-12 1.61 mi 1']",https://www.walkscore.com/score/loc/lat=33.992538/lng=-118.3146653/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,71
Single Family Residence,"$998,000 ","945 W Kensington Rd, Los Angeles, CA 90026",3 beds | 2 bath | year built in: 1920,"1,440","Welcome Home! Fixer in the historic Angelino Heights with views of the Hollywood sign. The main house features 3 bedrooms, 2 bathrooms with a fireplace in the living room and a basement.  Wall furnace and wall AC unit.  This property offers a studio with a shower as well, perfect for that extra income. This property has all flat usable land, with many fruit trees.  Close proximity to Sunset Blvd and its local eateries, cafes, night clubs, Dodger Stadium and Echo Park. Also minutes away from Silver Lake and Downtown Los Angeles.","['MLS # : CRWS19282098', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : Other, Oven Range - Gas', 'Dining Room : -', 'Family Room : -', 'Fireplace : Living Room', 'Flooring : -', 'Laundry : In Garage,  Other', 'Cooling : Ceiling Fan, Window/Wall Unit', 'Heating : Wall Furnace', 'Roof : -', 'Foundation : Raised', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 1 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR2']",https://www.mlslistings.com/property/crws19282098/945-w-kensington-rd-los-angeles-ca-90026/10411134,lat=34.0734436 | lng=-118.2554261,"['Logan Street Elementary School Public K-8 0.38 mi 2', 'Betty Plasencia Elementary School Public K-6 0.5 mi 5', 'Downtown Business High School Public 9-12 0.77 mi 9', 'Edward R. Roybal Learning Center Public 9-12 0.8 mi 4', 'Rosemont Avenue Elementary School Public K-5 0.83 mi 2', 'E. Manfred Evans Community Adult Public n/a 0.86 mi N/A', 'Union Avenue Elementary School Public K-5 0.95 mi 5', 'Mayberry Street Elementary School Public K-6 0.95 mi 1', 'Belmont Senior High School Public 9-12 0.96 mi 3', 'Sal Castro Middle School Public 6-8 0.96 mi 2', 'Lake Street Primary School Public K-1 0.99 mi N/A', 'Harris Newmark Continuation School Public 9-12 1.01 mi N/A', 'Castelar Street Elementary School Public K-5 1.09 mi 5', 'Contreras Learning Center-School Of Social Justice Public 9-12 1.11 mi 2', 'Clifford Street Elementary School Public K-6 1.11 mi 8', 'Gratts Learning Academy For Young Scholars (Glays) Public K-6 1.12 mi 2', 'Miguel Contreras Learning Complex School Public 9-12 1.13 mi 4', 'Contreras Learning Center-Los Angeles School Of Global Studies Public 9-12 1.13 mi 2', 'Academic Leadership Community School Public 9-12 1.13 mi 3', 'Ramon C. Cortines School Of Visual And Performing Arts Public 9-12 1.14 mi 6']",https://www.walkscore.com/score/loc/lat=34.0734436/lng=-118.2554261/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,92
Single Family Residence,"$699,000 ","1635 N Alvarado St, Los Angeles, CA 90026",2 beds | 2 bath | year built in: 1922,622,"Where the best of SoCal’s indoor/outdoor living meets trendy Echo Park!  This charming 2 bedroom, 2 bath bungalow offers an open floor plan with natural light seeping in and a wrap-a-round deck to enjoy the warm LA night skies.  With beautiful finishing touches in the wood style and slate flooring to double paned windows and copper plumbing and central air/heat... every square foot of this gem was planned with efficiency and aesthetics in mind.  The cherry on top of this marvelous property is the detached garage that also offers an extra office or artist studio for your business or leisure.  

Bordering Silverlake and with easy accessibility to major freeways 2,5, 101 and 110, this place is nothing short of ideal.  Come see this masterpiece for yourself!","['MLS # : CRPF20010166', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : Other', 'Dining Room : -', 'Family Room : -', 'Fireplace : None', 'Flooring : -', 'Laundry : Hookup - Gas Dryer,  Other', 'Cooling : Central Forced Air', 'Heating : Central Forced Air', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 0 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAC2']",https://www.mlslistings.com/property/crpf20010166/1635-n-alvarado-st-los-angeles-ca-90026/10427337,lat=34.0844503 | lng=-118.2595831,"['Mayberry Street Elementary School Public K-6 0.32 mi 1', 'Clifford Street Elementary School Public K-6 0.35 mi 8', 'Logan Street Elementary School Public K-8 0.43 mi 2', 'Elysian Heights ES Arts Magnet Public K-5 0.67 mi 3', 'Micheltorena Street Elementary School Public K-5 0.94 mi 6', 'Rosemont Avenue Elementary School Public K-5 1.04 mi 2', 'Allesandro Elementary School Public K-6 1.27 mi 8', 'Betty Plasencia Elementary School Public K-6 1.27 mi 5', 'Dorris Place Elementary School Public K-6 1.32 mi 7', 'Lake Street Primary School Public K-1 1.34 mi N/A', 'Thomas Starr King Middle School Public 6-8 1.45 mi 7', 'Union Avenue Elementary School Public K-5 1.49 mi 5', 'Downtown Business High School Public 9-12 1.58 mi 9', 'Edward R. Roybal Learning Center Public 9-12 1.59 mi 4', 'E. Manfred Evans Community Adult Public n/a 1.62 mi N/A', 'Commonwealth Avenue Elementary School Public K-5 1.62 mi 5', 'Belmont Senior High School Public 9-12 1.63 mi 3', 'Sal Castro Middle School Public 6-8 1.63 mi 2', 'Harris Newmark Continuation School Public 9-12 1.65 mi N/A', 'Dayton Heights Elementary School Public K-5 1.65 mi 5']",https://www.walkscore.com/score/loc/lat=34.0844503/lng=-118.2595831/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,89
Single Family Residence,"$1,588,800 ","11828 Tennessee Pl, Los Angeles, CA 90064",3 beds | 3 bath | year built in: 1948,"1,428","Located within three and a half miles of Santa Monica Pier and in one of the best and sought-after neighborhoods of Los Angeles, this Sawtelle home is a sight to behold inside and out. This gem is completely remodeled with  new electrical, new plumbing, custom tile in the bathrooms, and so much more. The maple hardwood floors adorning this house will make you feel right at home. The ground have drought-tolerant landscaping for your peace of mind. You will never have to worry about LA parking because you will have an attached two-car garage which can be converted to an ADU. Walk down to the many restaurants that are in your neighborhood or head down to the beach for a relaxing evening.","['MLS # : CRCV19285021', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : Other', 'Dining Room : -', 'Family Room : -', 'Fireplace : Living Room', 'Flooring : -', 'Laundry : Other', 'Cooling : Central Forced Air', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/crcv19285021/11828-tennessee-pl-los-angeles-ca-90064/10411895,lat=34.0308674 | lng=-118.4488449,"['Richland Avenue Elementary School Public K-6 0.53 mi 8', 'Daniel Webster Middle School Public 6-8 0.77 mi 3', 'Nora Sterry Elementary School Public K-5 0.94 mi 7', 'Edison Elementary School Public PK-5 1.09 mi 9', 'Grant Elementary School Public PK-5 1.13 mi 9', 'Brockton Avenue Elementary School Public K-5 1.26 mi 4', 'University Senior High School Charter Public 9-12 1.26 mi 6', 'Mar Vista Elementary School Public K-5 1.29 mi 9', 'Clover Avenue Elementary School Public K-5 1.34 mi 9', 'McKinley Elementary School Public PK-5 1.59 mi 8', 'Overland Avenue Elementary School Public K-5 1.69 mi 9', 'John Adams Middle School Public 6-8 1.74 mi 7', 'Walgrove Avenue Elementary School Public K-5 1.77 mi 4', 'Will Rogers Elementary School Public PK-5 1.86 mi 8', 'Palms Middle School Public 6-8 1.92 mi 7', 'Charnock Road Elementary School Public K-6 1.93 mi 5']",https://www.walkscore.com/score/loc/lat=34.0308674/lng=-118.4488449/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,90
Single Family Residence,"$350,000 ","8421 Grape St, Los Angeles, CA 90001",2 beds | 1 bath | year built in: 1921,946,"Fixer - Bring your paint brush, tools and save - This charming two bedroom one bath home needs some TLC to make it shine again.  Large Lot 5,027 with 2-car detached garage. Zoned R-2","['MLS # : CRDW20003206', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : None', 'Dining Room : Formal Dining Room', 'Family Room : -', 'Fireplace : None', 'Flooring : -', 'Laundry : In Laundry Room', 'Cooling : None', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : Traditional', 'Horse Property : -', 'Garage/Parking : Garage, Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LCR2*']",https://www.mlslistings.com/property/crdw20003206/8421-grape-st-los-angeles-ca-90001/10411327,lat=33.9614294 | lng=-118.2365013,"['Graham Elementary School Public K-6 0.06 mi 3', 'Ninety-Second Street Elementary School Public K-6 0.58 mi 4', 'Charles Drew Middle School Public 6-8 0.65 mi 2', 'Judith F. Baca Arts Academy Public K-6 0.65 mi 3', 'University Pathways Public Service Academy Public 9-12 0.67 mi N/A', 'Walnut Park Middle A School Of Social Justice And Service Learning Public 6-8 0.79 mi 3', 'Walnut Park Middle B Science, Technology, Engineering And Mathematics Academy Public 6-8 0.79 mi 4', 'Liberty Boulevard Elementary School Public K-5 0.85 mi 3', 'Walnut Park Elementary School Public K-5 0.86 mi 3', 'Russell Elementary School Public K-6 0.91 mi 4', 'Florence Avenue Elementary School Public K-6 0.92 mi 5', 'Willow Elementary Public K-5 0.96 mi 5', 'Parmelee Avenue Elementary School Public K-6 1.06 mi 3', 'Ninety-Sixth Street Elementary School Public K-6 1.1 mi 4', 'Stanford Avenue Elementary School Public K-5 1.17 mi 5', 'Southeast Middle School Public 6-8 1.22 mi 2', 'Florence Griffith Joyner Elementary School Public K-5 1.27 mi 2', 'Middleton Primary Center Public K-1 1.29 mi N/A', 'David Starr Jordan Senior High School Public 9-12 1.3 mi 2', 'South East High School Public 9-12 1.31 mi 5']",https://www.walkscore.com/score/loc/lat=33.9614294/lng=-118.2365013/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,74
Triplex,"$599,999 ","8813 Compton Ave, Los Angeles, CA 90002",- beds | - bath | year built in: 1952,-,"Very good properties, live in one and collect money from the others, Front unit is 2 bedroom 1 bath, owner occupied. Middle 3 bedroom 1 bath  and back unit 1 bedroom 1 bath living the other owner.","['MLS # : CRMB20002974', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : -', 'Flooring : -', 'Laundry : None', 'Cooling : -', 'Heating : -', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 0 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/crmb20002974/8813-compton-ave-los-angeles-ca-90002/10410862,lat=33.9568845 | lng=-118.2476325,"['Judith F. Baca Arts Academy Public K-6 0.1 mi 3', 'University Pathways Public Service Academy Public 9-12 0.27 mi N/A', 'Charles Drew Middle School Public 6-8 0.29 mi 2', 'Russell Elementary School Public K-6 0.35 mi 4', 'Ninety-Sixth Street Elementary School Public K-6 0.54 mi 4', 'Graham Elementary School Public K-6 0.67 mi 3', 'Ninety-Second Street Elementary School Public K-6 0.7 mi 4', 'Thomas Riley High School Public 7-12 0.95 mi N/A', 'Ninety-Ninth Street Elementary School Public K-6 0.96 mi 5', 'Parmelee Avenue Elementary School Public K-6 0.98 mi 3', 'Compton Avenue Elementary School Public K-5 1.07 mi 2', 'Mckinley Avenue Elementary School Public K-6 1.09 mi 3', 'Edwin Markham Middle School Public 6-8 1.09 mi 1', 'Loren Miller Elementary School Public K-6 1.11 mi 2', 'Florence Griffith Joyner Elementary School Public K-5 1.12 mi 2', 'South Park Elementary School Public K-6 1.16 mi 2', 'Academy For Multiligual Arts And Science At Mervyn M. Dymally High Public 9-12 1.22 mi 2', 'Wisdom Elementary School Public K-6 1.23 mi 5', 'Dorothy V. Johnson Community Day School Public 7-12 1.26 mi 1', 'Ninety-Third Street Elementary School Public K-6 1.26 mi 2']",https://www.walkscore.com/score/loc/lat=33.9568845/lng=-118.2476325/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,67
Single Family Residence,"$1,249,900 ","7198 Formosa Fusion Ct, Los Angeles, CA 90046",3 beds | 1/1 bath | year built in: 2015,"1,573","...LIKE NEW!!!GREAT VIEW OF CITY AND MOUNTAINS FROM LIVING ROOM !!!FANTASTIC LOCATION, MINUTES TO MAJOR SHOPPING AND FREEWAY ACCESS....CORNER UNIT, TRI-LEVEL MODERN UPSCALE NEWER HOME WITH MANY DESIGNER FEATURES!!!  MAIN FLOOR BEDROOM WITH FULL BATH AND A PATIO FOR FAMILY ENTERTAINMENT.....2ND FLOOR WITH A GOURMET KITCHEN WITH QUARTZ COUNTER TOPS,  WITH HIGH END APPLIANCES,  WITH FIREPLACE, DINING AREA, AND LARGE WINDOWS AND BALCONY FOR AMPLE LIGHT AND STREET VIEW......LAUNDRY AREA AND A BATHROOM ..FLOOR IS ELEGANT LAMINATE WOOD AND DESIGNER TILE......TWO BEDROOMS ARE ON THE 3RD FLOOR WITH PRIVATE BATH FOR EACH.....ALL WINDOWS WITH STYLISH SCREENS....GARAGE HAS DIRECT ACCESS TO THE HOUSE AND HAS ELECTRIC VEHICLE CHARGING SYSTEM AND EPOXY FLOORING......PRE-WIRED FOR INTERNET, CABLE, AND TV AND SOLAR READY....NEWER AND AFFORDABLE...NO HOA.....SMALL LOT SUBDIVISION MAINTENANCE AGREEMENT FEE OF $125...….","['MLS # : CRIV19263674', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom,  Other', 'Bathrooms : -', 'Kitchen : Other,  Dryer,  Washer', 'Dining Room : Breakfast Bar, Dining Area in Living Room,  Other', 'Family Room : -', 'Fireplace : Kitchen', 'Flooring : Laminate', 'Laundry : In Closet, In Kitchen,  Other', 'Cooling : Central Forced Air', 'Heating : Central Forced Air', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage: 2 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR3']",https://www.mlslistings.com/property/criv19263674/7198-formosa-fusion-ct-los-angeles-ca-90046/10411613,lat=34.0857039 | lng=-118.3460144,"['Melrose Elementary School Public K-6 0.11 mi 9', 'Hubert Howe Bancroft Middle School Public 6-8 0.58 mi 3', 'Whitman Continuation School Public 9-12 0.85 mi N/A', 'Fairfax Senior High School Public 9-12 0.86 mi 5', 'West Hollywood Opportunity School Public 7-12 0.94 mi N/A', 'Hollywood Senior High School Public 9-12 0.97 mi 5', 'Laurel Elementary School Public K-8 0.99 mi 4', 'Gardner Street Elementary School Public K-6 1.04 mi 7', 'Vine Street Elementary School Public K-6 1.13 mi 2', 'Selma Avenue Elementary School Public K-6 1.2 mi 2', 'Third Street Elementary School Public K-5 1.21 mi 8', 'Hancock Park Elementary School Public K-5 1.42 mi 8', 'Hollywood Primary Center Public K-3 1.59 mi 7', 'John Burroughs Middle School Public 6-8 1.63 mi 6', 'Rosewood Avenue Elementary School, School for Advanced Studies Public K-6 1.65 mi 6', 'Joseph Le Conte Middle School Public 6-8 1.73 mi 3', 'Van Ness Avenue Elementary School Public K-5 1.78 mi 6', 'Richard A. Alonzo Community Day School Public 7-12 1.89 mi N/A', 'STEM Academy at Bernstein High Public 9-12 1.94 mi 6', 'Helen Bernstein High School Public 9-12 1.98 mi 2']",https://www.walkscore.com/score/loc/lat=34.0857039/lng=-118.3460144/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,93
Single Family Residence,"$1,500,000 ","1419 Allison Ave, Los Angeles, CA 90026",3 beds | 1 bath | year built in: 1919,"1,288","This is a nice fixer upper located in the Angeleno Heights area of Los Angeles.  The upper living area is a 3 bedroom, 1 bath and an extra room used as an office.  Tile floors and some major recent improvements.  Below is a finished basement which doubles as living space with 2 bedrooms, half bath, kitchen and extra room.  Long driveway, 5 car garage access through alley.  This is a contingency sale as this is owner occupied.","['MLS # : CRAR20003377', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : Other,  Dryer', 'Dining Room : Formal Dining Room', 'Family Room : -', 'Fireplace : None', 'Flooring : -', 'Laundry : In Laundry Room,  Other, Upper Floor', 'Cooling : Ceiling Fan,  None', 'Heating : Central Forced Air', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : Craftsman', 'Horse Property : -', 'Garage/Parking : Garage: 5 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LARD2']",https://www.mlslistings.com/property/crar20003377/1419-allison-ave-los-angeles-ca-90026/10422368,lat=34.073956 | lng=-118.2530506,"['Logan Street Elementary School Public K-8 0.42 mi 2', 'Betty Plasencia Elementary School Public K-6 0.57 mi 5', 'Downtown Business High School Public 9-12 0.78 mi 9', 'E. Manfred Evans Community Adult Public n/a 0.8 mi N/A', 'Edward R. Roybal Learning Center Public 9-12 0.84 mi 4', 'Rosemont Avenue Elementary School Public K-5 0.97 mi 2', 'Castelar Street Elementary School Public K-5 1.01 mi 5', 'Mayberry Street Elementary School Public K-6 1.01 mi 1', 'Belmont Senior High School Public 9-12 1.05 mi 3', 'Sal Castro Middle School Public 6-8 1.05 mi 2', 'Union Avenue Elementary School Public K-5 1.07 mi 5', 'Elysian Heights ES Arts Magnet Public K-5 1.07 mi 3', 'Clifford Street Elementary School Public K-6 1.1 mi 8', 'Ramon C. Cortines School Of Visual And Performing Arts Public 9-12 1.11 mi 6', 'Harris Newmark Continuation School Public 9-12 1.12 mi N/A', 'Lake Street Primary School Public K-1 1.13 mi N/A', 'Contreras Learning Center-School Of Social Justice Public 9-12 1.19 mi 2', 'Solano Avenue Elementary School Public K-6 1.2 mi 9', 'Gratts Learning Academy For Young Scholars (Glays) Public K-6 1.2 mi 2', 'Miguel Contreras Learning Complex School Public 9-12 1.21 mi 4']",https://www.walkscore.com/score/loc/lat=34.073956/lng=-118.2530506/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,86
Residential Income,"$1,799,000 ","1810 S Berendo St, Los Angeles, CA 90006",- beds | - bath | year built in: 1922,-,"7 Unit Multi-Family near Vermont & Washington, north of 10 Freeway - Excellent Location! Fully occupied with monthly rental income close to $12,000. Tremendous upside potential. 3 miles to Downtown Los Angeles and USC.","['MLS # : CRPW20002533', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : -', 'Bathrooms : -', 'Kitchen : -', 'Dining Room : -', 'Family Room : -', 'Fireplace : -', 'Flooring : -', 'Laundry : None', 'Cooling : -', 'Heating : -', 'Garage/Parking : Garage: 7 Car(s)', 'Elementary District : -', 'High School District : -', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : -', 'Complex Amenities : -', 'Zoning : -']",https://www.mlslistings.com/property/crpw20002533/1810-s-berendo-st-los-angeles-ca-90006/10410750,None,"['Manhattan Place Elementary School Public K-5 0.31 mi 1', 'La Salle Avenue Elementary School Public K-5 0.38 mi 1', 'Ninety-Fifth Street Elementary School Public K-5 0.67 mi 2', 'George Washington Preparatory High School Public 9-12 1.01 mi 1', 'Danny J. Bakewell, Sr., Primary Center Public K 1.14 mi N/A', 'Youth Opportunities Unlimited School Public 9-12 1.15 mi N/A', 'Bret Harte Preparatory Middle School Public 6-8 1.16 mi 1', 'Ellington (Duke) High (Continuation) School Public 9-12 1.17 mi N/A', 'Boys Academic Leadership Academy Public 6-12 1.18 mi N/A', 'Woodcrest Elementary School Public K-5 1.18 mi 3', 'Manchester Avenue Elementary School Public 1-6 1.3 mi 3', 'Century Park Elementary School Public K-5 1.31 mi 2', 'Clyde Woodworth Elementary School Public K-5 1.37 mi 2', 'Lane (Warren) Elementary School Public K-6 1.39 mi 1', 'Raymond Avenue Elementary School Public K-5 1.46 mi 2', 'Monroe (Albert F.) Middle School Public 6-8 1.47 mi 2', 'Seventy-Fourth Street Elementary School Public K-5 1.52 mi 4', 'Charles W. Barrett Elementary School Public K-5 1.56 mi 3', 'Washington Primary Center School Public K-1 1.61 mi N/A', 'Cimarron Avenue Elementary School Public K-5 1.68 mi 3']",https://www.walkscore.com/score/loc/lat=33.9521071/lng=-118.3070834/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,None
Single Family Residence,"$679,000 ","9217 S Harvard Bld, Los Angeles, CA 90047",3 beds | 2 bath | year built in: 1940,"1,315","Beautiful updated home with ADU potential and VIEWS! Stunning remodeled home on a lovely street - three bedrooms, two bathrooms, just over 1,300sf on a 6,000+sf lot, with stunning views of downtown Los Angeles skyline. Updates include flooring, shaker white kitchen cabinets, updated bathrooms, and more. Open concept feel with radiant natural sunlight throughout the home. Spacious 2-car garage with potential to convert into a livable area to rent out. Come and see today!","['MLS # : CRTR20003474', 'MLS Source : CRMLS', 'Days on Site : 18', 'Bedrooms : Ground Floor Bedroom', 'Bathrooms : -', 'Kitchen : Other, Oven Range - Gas', 'Dining Room : -', 'Family Room : -', 'Fireplace : Living Room', 'Flooring : -', 'Laundry : Hookup - Gas Dryer,  Other', 'Cooling : None', 'Heating : Wall Furnace', 'Roof : -', 'Foundation : -', 'Pool : None', 'Style : -', 'Horse Property : -', 'Garage/Parking : Garage, Garage: 2 Car(s)', 'Elementary District : Los Angeles Unified', 'High School District : Los Angeles Unified', 'Unit Levels : -', 'Sewer : -', 'Water : -', 'HOA Fee : $0', 'Complex Amenities : -', 'Zoning : LAR1']",https://www.mlslistings.com/property/crtr20003474/9217-s-harvard-bld-los-angeles-ca-90047/10412420,lat=33.9521071 | lng=-118.3070834,"['Dorothy V. Johnson Community Day School Public 7-12 0.1 mi 1', 'Edwin Markham Middle School Public 6-8 0.26 mi 1', 'Lovelia P. Flournoy Elementary School Public K-5 0.31 mi 1', 'Compton Avenue Elementary School Public K-5 0.37 mi 2', 'Grape Street Elementary School Public K-5 0.38 mi 1', 'Florence Griffith Joyner Elementary School Public K-5 0.43 mi 2', 'Thomas Riley High School Public 7-12 0.46 mi N/A', 'Middle College High School Public 9-12 0.67 mi 8', 'One Hundred Twelfth Street Elementary School Public K-5 0.71 mi 1', 'David Starr Jordan Senior High School Public 9-12 0.71 mi 2', 'Maxine Waters Employment Prep Center Public n/a 0.72 mi N/A', 'Weigand Avenue Elementary School Public K-5 0.76 mi 2', 'Ninety-Sixth Street Elementary School Public K-6 0.82 mi 4', 'Ritter Elementary School Public K-5 0.88 mi 4', 'King/Drew Medical Magnet High School Public 9-12 1.04 mi 7', 'Ninety-Second Street Elementary School Public K-6 1.07 mi 4', 'One Hundred Ninth Street Elementary School Public K-5 1.08 mi 1', 'Ninety-Ninth Street Elementary School Public K-6 1.1 mi 5', 'Southeast Middle School Public 6-8 1.1 mi 2', 'Carver Elementary School Public PK-8 1.11 mi 2']",https://www.walkscore.com/score/loc/lat=33.9384449/lng=-118.2422349/?utm_source=mlslistings.com&utm_medium=ws_api&utm_campaign=ws_api,70
