property_type,property_price,property_desc,property_address
house for sale,"$139,500","3 bds | 2 ba | 1,538 sqft","20212 87th Street, California City, CA 93505"
mobile manufactured for sale,"$35,000",2 bds | 1 ba | 732 sqft,"245 Desert Breeze Drive 245, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Peach Street Avenue, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Grove Avenue & 90th Street, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Peach And 85th, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Orchard Avenue, California City, CA 93505"
mobile manufactured for sale,"$49,000",2 bds | 2 ba | -- sqft,"313 Morning Glory Drive Drive 313, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Viburnum Avenue, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Viburnum Avenue, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Willow Avenue Boulevard, California City, CA 93505"
Lots/Land for sale,"$13,000",-- acres,"Nipa Street Avenue, California City, CA 93505"
mobile manufactured for sale,"$15,000",2 bds | 1 ba | 624 sqft,"157 Camp Fire Drive 157, California City, CA 93505"
Lots/Land for sale,"$30,990",-- acres,"Brett Ave And Churchill St, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Viburnum Avenue Avenue, California City, CA 93505"
Lots/Land for sale,"$11,000",-- acres,"Oleander Avenue Avenue, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Corwin Street Street, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"72nd St, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Aspen Avenue, California City, CA 93505"
Lots/Land for sale,"$13,000",-- acres,"339 Morning Glory Drive, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Glade Avenue Avenue, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Evergreen Avenue Avenue, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Exeter Court Court, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Tanbark Avenue And 82nd Street, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Kimron Wy Way, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"South College Court, California City, CA 93505"
Lots/Land for sale,"$10,000",-- acres,"Princeton Avenue, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"Amherst Court, California City, CA 93505"
Lots/Land for sale,"$12,000",-- acres,"9207 Karen Avenue, California City, CA 93505"
Lots/Land for sale,"$13,000",-- acres,"S S Loop Boulevard, California City, CA 93505"
house for sale,"$219,900","4 bds | 3 ba | 1,792 sqft","9640 Susan Avenue, California City, CA 93505"
house for sale,"$155,900","3 bds | 2 ba | 1,445 sqft","7748 Jimson Avenue, California City, CA 93505"
house for sale,"$139,799","3 bds | 1 ba | 1,012 sqft","7665 Walpole Avenue, California City, CA 93505"
house for sale,"$67,000","2 bds | 2 ba | 1,683 sqft","21313 Conklin Court, Calif City, CA 93505"
